MTHD,KEEP,STEE_AV,STEE_SE
astral,1000,0.0396975652174,0.00997174603631
astral,750,0.0340264347826,0.00754088002562
astral,500,0.0189035217391,0.00522921118286
astral,250,0.0207938695652,0.00525883772129
astral,100,0.0189035217391,0.00645278804761
astral,50,0.0264649565217,0.00694003170361
astrid,1000,0.0340265217391,0.00998732093141
astrid,750,0.0302457391304,0.00776421134269
astrid,500,0.0189035217391,0.00522921118286
astrid,250,0.0189035217391,0.00522921118286
astrid,100,0.0189035217391,0.00522921118286
astrid,50,0.0264649565217,0.00581981237281
mpest,1000,0.0340264782609,0.00884905223592
mpest,750,0.0302457391304,0.00776421134269
mpest,500,0.0207938695652,0.00525883772129
mpest,250,0.0170131304348,0.0044244885622
mpest,100,0.0189035217391,0.00645278804761
mpest,50,0.0264649565217,0.00694003170361
caml,1000,0.0113420869565,0.00398086903428
caml,750,0.0094517826087,0.00459674349017
caml,500,0.0132324347826,0.00417144782082
caml,250,0.0151227826087,0.00431785871061
caml,100,0.0226842608696,0.00700687261386
caml,50,0.0415879565217,0.00823048494104
svdquartets,1000,0.0623817826087,0.0160014445149
svdquartets,750,0.056710826087,0.0137451043646
svdquartets,500,0.0623819130435,0.0124895983163
svdquartets,250,0.0642722608696,0.0127846674008
svdquartets,100,0.0586011304348,0.0132618436365
svdquartets,50,0.0737240869565,0.0142555877574
